x,y
http://www.wikidata.org/entity/Q784146,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q918382,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q921867,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q928404,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q934471,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q969058,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1024531,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1175642,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1215519,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1219081,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1226289,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1226466,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1227082,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1229717,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1230271,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1231761,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1236548,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1238031,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1354018,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1449914,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1568806,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1627567,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1917662,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1920435,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2263186,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2271058,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2311717,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2346819,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2410596,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1536709,-0501-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2563682,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2748964,-0500-01-01T00:00:00Z
